"","Number of ID in Group","All","Target"
"1",189,0.312169312169312,0.232804232804233
"2",206,0.280097087378641,0.216019417475728
"3",2348,0.289437819420784,0.226192504258944
"4",3801,0.287213891081294,0.226098395159169
"5",393,0.285241730279898,0.223155216284987
"6",3019,0.292050347797284,0.228287512421332
"7",253,0.288932806324111,0.21699604743083
"8",1369,0.2836376917458,0.222717311906501
"9",9,0.133333333333333,0.111111111111111
"10",981,0.311213047910296,0.246279306829766
"11",1006,0.301888667992048,0.237574552683897
"12",434,0.285483870967742,0.23110599078341
"13",224,0.288392857142857,0.233928571428571
"14",949,0.299894625922023,0.240463645943098
"15",574,0.270557491289199,0.205052264808362
"16",1834,0.285169029443839,0.221537622682661
"17",40,0.2725,0.2075
"18",1229,0.295850284784378,0.234906427990236
"19",2248,0.294350533807829,0.236076512455516
"20",359,0.282729805013928,0.22116991643454
"21",219,0.299543378995434,0.236986301369863
